	CumTotSum
1978-12-31	-0.0004565030612238306
1979-12-31	-0.0009004668322709497
1980-12-31	-0.0013318514062722745
1981-12-31	-0.0017485101422745294
1982-12-31	-0.0021526352875845655
1983-12-31	-1.6885645173686596
1984-12-31	-2.1284014736401593
1985-12-31	-2.3187779752477153
1986-12-31	-2.4272028774285874
1987-12-31	-2.5023476777764424
1988-12-31	-2.559132094363399
1989-12-31	-2.6044836747977165
1990-12-31	-2.642569481134669
1991-12-31	-2.675260551171977
1992-12-31	-2.7043052994208323
1993-12-31	-2.3654923380145454
1994-12-31	-2.2853273956766103
1995-12-31	-2.2744286942217746
1996-12-31	-2.2699552876611286
1997-12-31	-2.2671030948397437
1998-12-31	-2.2649354826440296
1999-12-31	-2.263219718996159
2000-12-31	-2.2618142370277794
2001-12-31	-2.2606694959079103
2002-12-31	-2.259736250858976
2003-12-31	-2.2589684998564383
2004-12-31	-2.2583414067133076
2005-12-31	-2.2578287232466074
2006-12-31	-2.2574075410361303
2007-12-31	-2.2570650925490963
2008-12-31	-2.256782542482485
2009-12-31	-2.2565522619907714
2010-12-31	-2.2563640617534944
2011-12-31	-2.2562092146850503
2012-12-31	-2.2560829421140864
2013-12-31	-2.2559795229532917
2014-12-31	-2.255894700540348
2015-12-31	-2.2558256167269213
2016-12-31	-2.2557686211353167
2017-12-31	-2.2557222480863404
2018-12-31	-2.255684282774175
2019-12-31	-2.255653048626102
